,CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,TestName
0,Canada,,0,24614.14281937899,3.0,Fast_EC
1,Canada,,1,19550.980858058294,6.0,Fast_EC
2,Canada,,2,19105.193093334678,8.0,Fast_EC
3,Canada,,3,17999.052311425337,12.0,Fast_EC
4,Canada,,4,17300.297770319852,14.0,Fast_EC
5,Canada,,5,16860.524301570676,17.0,Fast_EC
6,Canada,,6,16546.18531850391,19.0,Fast_EC
7,Canada,,7,15993.8434674493,23.0,Fast_EC
8,Canada,,8,15729.8751393327,25.0,Fast_EC
9,Canada,,9,15319.421921042207,28.0,Fast_EC
10,United States,,0,332009.6592243468,3.0,Fast_EC
11,United States,,1,275118.90918459627,6.0,Fast_EC
12,United States,,2,269985.179696863,8.0,Fast_EC
13,United States,,3,257141.62624688982,12.0,Fast_EC
14,United States,,4,248949.73123289147,14.0,Fast_EC
15,United States,,5,243762.74223681045,17.0,Fast_EC
16,United States,,6,240039.33420313877,19.0,Fast_EC
17,United States,,7,233464.06800166224,23.0,Fast_EC
18,United States,,8,230307.13437355513,25.0,Fast_EC
19,United States,,9,225378.40870410236,28.0,Fast_EC
20,United States,Texas,0,30586.368622057566,3.0,Fast_EC
21,United States,Texas,1,25315.660636991444,6.0,Fast_EC
22,United States,Texas,2,24839.349071872573,8.0,Fast_EC
23,United States,Texas,3,23647.348325142153,12.0,Fast_EC
24,United States,Texas,4,22886.86578944413,14.0,Fast_EC
25,United States,Texas,5,22405.27769341588,17.0,Fast_EC
26,United States,Texas,6,22059.53417763673,19.0,Fast_EC
27,United States,Texas,7,21448.811365246696,23.0,Fast_EC
28,United States,Texas,8,21155.572808396577,25.0,Fast_EC
29,United States,Texas,9,20697.686160587367,28.0,Fast_EC
0,Canada,,0,26958.6881821667,0.22388828297772262,Fast_RC
1,Canada,,1,26151.149552698298,0.54918506606027,Fast_RC
2,Canada,,2,23579.308163988644,1.704135276984829,Fast_RC
3,Canada,,3,20320.8563162974,3.3200018745539377,Fast_RC
4,Canada,,4,16944.908001802207,5.044551082210594,Fast_RC
5,Canada,,5,16468.888006452555,6.90844534162482,Fast_RC
6,Canada,,6,16156.26043991674,8.87373740146699,Fast_RC
7,Canada,,7,15973.12180215203,11.298136000084769,Fast_RC
8,Canada,,8,15695.056665290676,14.398336774639633,Fast_RC
9,Canada,,9,15378.71459504024,20.635666432744745,Fast_RC
10,United States,,0,320364.0847265395,0.9165715587861909,Fast_RC
11,United States,,1,307555.9280534315,2.8710668513715043,Fast_RC
12,United States,,2,287997.60214648687,5.166797907662734,Fast_RC
13,United States,,3,254426.51850834562,7.181522076696611,Fast_RC
14,United States,,4,243519.52265617982,9.347105620841054,Fast_RC
15,United States,,5,237646.6209254082,11.47450164968321,Fast_RC
16,United States,,6,234976.40064712535,13.812405509749563,Fast_RC
17,United States,,7,229984.1774142761,18.95030553484435,Fast_RC
18,United States,,8,228524.04728561422,21.650040382748795,Fast_RC
19,United States,,9,225819.4965622065,24.393581974239396,Fast_RC
20,United States,Texas,0,34068.96008945296,0.003341043190058647,Fast_RC
21,United States,Texas,1,31914.871046340995,0.5669018537361717,Fast_RC
22,United States,Texas,2,31162.986316144677,1.4726911178014555,Fast_RC
23,United States,Texas,3,25988.465515322132,2.879938231435886,Fast_RC
24,United States,Texas,4,23098.383265243978,5.077337406655147,Fast_RC
25,United States,Texas,5,22187.173855760593,8.177261508161111,Fast_RC
26,United States,Texas,6,21832.193811419078,11.731210823128547,Fast_RC
27,United States,Texas,7,21341.593419759018,17.052916684827668,Fast_RC
28,United States,Texas,8,21086.594146418352,19.952967258923344,Fast_RC
29,United States,Texas,9,20917.92819235672,22.91583553153282,Fast_RC
